id,replied_by_author,parent_comment_id,author,no_of_replies,text,category,"Legend: (blank lang yung replied sticker/image)
1 - Positive response
2 - Negative response
3 - Inquiry
4 - Tagged a person/Shared a link
5- Neutral
6- diff language"
2196073673808423-1,FALSE,0,Marc Joeff Navarro,0,"Coconut has many uses, let's use it for our daily consumption....Coconut oil is good for cooking, its so easy to make it!  i hope God will give us Filipinos wisdom on how to manufacture it to run our Automobiles & tricycles.",1,
2196073673808423-2,FALSE,0,Gladys Joy Marquez,0,While It’s taking me a hard time to find a coco peat supplier for export in the Philippines 😔 I need a huge  amount of coco peat for export please. 🇵🇭🇨🇦,2,
2196073673808423-3,FALSE,0,Lou Villaflores Tawing Reinante,0,Pri0ritize coco oil.ban 4 palm oil,,
2196073673808423-4,FALSE,0,MsDhels Ladeza Alolino,0,Why using palm oil when we have coconut oil in the country? 😞,3,
2196073673808423-5,FALSE,0,Charlie Morales,0,Way to go.  Let us protect our own industry.,1,
2196073673808423-6,FALSE,0,Johnny Bobadilla,27,It's been 4 months since our copra workers has stopped harvesting our coconuts due to it's record lowest price and I can see it to continue in the months coming ahead. I for one cannot blame them but I am afraid that people will soon convert their coconut trees into coconut lumber if this will continue. It seems that the people in DA has no grip about what's going on in the Agri Industry. Photo ops and false hopes are not good enough for US farmers. We need something that will really put food on our table and support our family and our children's future.,2,
2196073673808423-7,FALSE,2196073673808423-6,HaroLd CaYme,0,Johnny Bobadilla agree,1,
2196073673808423-8,FALSE,2196073673808423-6,Junor Española,0,Agree,1,
2196073673808423-9,FALSE,2196073673808423-6,Fritz Baldemor Marqueda,0,agree,1,
2196073673808423-10,FALSE,2196073673808423-6,Elizalde Pedrosa Garzon,0,"Same here in our area, since August last year,  cutting of coconut trees is unceasing and may continue in months to come.",,
2196073673808423-11,FALSE,2196073673808423-6,Jigs Dolores Ignacio,0,Johnny Bobadilla in all fairness to sir manny  its not as if no grip but limited powers. he cannot just set the price like he is the one who will buy plus the fact that coco industry was just returned to Da for just 5to6mos so pls know your facts sir as much as you have right to complain but be fair to sir manny and da because he is not just giving photo ops he need to post photoa of meetings and what he iis doing because many people like you who already see something still consider him doing what will you think if you dont see any post from him.. you can blame the govt for lack of supprt lack of initiative for the past years to not help you shift and open up to new demands of coco by products. but not da on this.  and besides i think he is doing his BEST ON HIS LIMITED POWERS so there vote for congress and sentors who will make bills to protect you and budget to support you.,1,
2196073673808423-12,FALSE,2196073673808423-6,Rowena Paredes Barrios,0,Jigs Dolores Ignacio tumpak ka po,1,
